,song_name,artist_name,song_genre,publish_year,time_played_at,dj_name
182,When You're Gone,Shawn Mendes,Pop ,2022,19:35,Numi
183,House On Fire,Mimi Webb,Pop ,2022,19:41,Numi
184,About Time,Lizzo,,,19:43,Numi
185,Sweetest Pie,Megan Thee Stallion & Dua Lipa,Pop ,2022,19:47,Numi
186,Good Luck,Mabel & Jax Jones,Dance ,2022,19:50,Numi
187,Our Song,Anne-Marie / Niall Horan,Pop ,2021,19:53,Numi
188,she's all i wanna be,Tate Mcrae,Pop ,2022,20:00,Numi
189,Remind Me,Tom Grennan,Alternative ,2022,20:03,Numi
190,My Pony,R3Hab,Dance ,2022,20:07,Numi
191,Bad Guy,Billie Eilish,Alternative ,2019,20:10,Numi
192,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,20:12,Numi
193,Baby,Aitch & Ashanti,Hip-Hop/Rap ,2022,20:20,Numi
194,First Class,Jack Harlow,,,20:23,Numi
195,Thousand Miles,The Kid Laroi,Pop ,2022,20:26,Numi
196,Without Me,Halsey,Alternative ,2018,20:30,Numi
197,Anyone For You,George Ezra,,,20:33,Numi
198,Where Are You Now,Lost Frequencies / Calum Scott,Dance ,2021,20:36,Numi
199,Make Me Feel Good,Belters Only & Jazzy,Dance ,2021,20:42,Numi
200,Kiss Me More,Doja Cat / Sza,Pop ,2021,20:45,Numi
201,Let Somebody Go,Coldplay / Selena Gomez,Pop ,2021,20:49,Numi
202,Run,Becky Hill & Galantis,Dance ,2022,20:53,Numi
203,Ain't No Other Man,Christina Aguilera,Pop ,2006,21:01,Numi
204,Pillow Talk,Zayn,Pop ,2016,21:03,Numi
205,Move Ya Body,Nina Sky,Pop ,2004,21:07,Numi
206,All 4 Nothing (I'm So In Love),Lauv,,,21:11,Numi
207,As It Was,Harry Styles,,,21:14,Numi
208,Savage,Megan Thee Stallion / Beyonce,Hip-Hop/Rap ,2020,21:17,Numi
209,Big Energy,Latto / Mariah Carey / Dj Khaled,Hip-Hop/Rap ,2022,21:25,Numi
210,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,21:28,Numi
211,Heaven Takes You Home,"Swedish House Mafia, Connie Constance",Dance ,2022,21:32,Numi
212,Light Switch,Charlie Puth,Pop ,2022,21:36,Numi
213,House On Fire,Mimi Webb,Pop ,2022,21:43,Numi
214,Fingers Crossed,Lauren Spencer Smith,Pop ,2022,21:45,Numi
215,Go,Cat Burns,Singer/Songwriter ,2020,21:49,Numi
216,Dancing Feet,Kygo / Dnce,Pop ,2022,21:52,Numi
217,Good 4 U,Olivia Rodrigo,Pop ,2021,22:02,
218,Good Luck,Mabel & Jax Jones,Dance ,2022,22:05,
219,Say You Won't Let Go,James Arthur,Pop ,2016,22:08,
220,Cold Heart (Pnau Remix),Elton John & Dua Lipa,Pop ,2021,22:11,
221,I'll Be There,Jess Glynne,Pop ,2018,22:15,
222,Take You Dancing,Jason Derulo,Pop ,2020,22:21,
223,Remind Me,Tom Grennan,Alternative ,2022,22:24,
224,Hey Brother,Avicii,House ,2013,22:31,
225,One Last Time,Ariana Grande,Pop ,2014,22:34,
226,About Time,Lizzo,,,22:41,
227,This Girl,Kungs / Cookin' On 3 Burners,,,22:44,
228,Cheap Thrills,Sia / Sean Paul,Pop ,2016,22:47,
229,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,22:51,
230,Everybody Dance,Cedric Gervais / Franklin / Nile Rodgers,Dance ,2020,22:53,
231,Dynamite,BTS,,,23:02,
232,Run,Becky Hill & Galantis,Dance ,2022,23:05,
233,Easy Love,Sigala,Pop ,2015,23:08,
234,Blank Space,Taylor Swift,Pop ,2014,23:11,
235,Get Lucky,"Daft Punk , Pharrell",Pop ,2013,23:14,
236,Good Without,Mimi Webb,Pop ,2021,23:21,
237,All I Know So Far,Pink,Pop ,2021,23:23,
238,So Sick,Jubel,Pop ,2022,23:27,
239,Light Switch,Charlie Puth,Pop ,2022,23:30,
240,Dance Monkey,Tones and I,Alternative ,2019,23:33,
241,Love Again,Dua Lipa,,,23:40,
242,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,23:43,
243,Savage Love (Laxed - Siren Beat),Jawsh 685 / Jason Derulo,Pop ,2020,23:47,
244,Rather Be,Clean Bandit / Jess Glynne,Dance ,2014,23:49,
245,Blinding Lights,The Weeknd,R&B/Soul ,2019,23:53,
